CategoryName,probability_up,growth_signal,active_recent_flag,fallback_baseline,category_base_forecast,category_adjusted_forecast,window_start,window_end
Storage,0.8657475375834482,1,1,147.15555555555557,120.0,171.94,2017-10-06,2017-11-02
Mother Board,0.8613477215910573,1,1,154.0,78.0,111.59,2017-10-06,2017-11-02
CPU,0.8247993914117243,1,1,217.15555555555557,145.0,204.8,2017-10-06,2017-11-02
Video Card,0.49453231987093166,1,1,326.0,326.0,406.61,2017-10-06,2017-11-02
RAM,0.4369846128244522,1,0,24.888888888888886,24.888888888888886,24.89,2017-10-06,2017-11-02
